id,cause_of_death,dead_or_missing,route,year,month
1,violent accidental death,2,,2016,2
2,drowning or exhaustion,2,Central Mediterranean Route,2016,2
3,unknown,1,Eastern Mediterranean Route,2016,2
4,malicious intent,1,,2016,2
5,other,1,,2016,2
6,other,1,,2016,2
7,drowning or exhaustion,1,,2016,2
8,drowning or exhaustion,38,Eastern Mediterranean Route,2016,2
9,other,2,Western Balkan Route,2016,2
10,drowning or exhaustion,9,Eastern Mediterranean Route,2016,2
11,drowning or exhaustion,39,Eastern Mediterranean Route,2016,1
12,drowning or exhaustion,6,Central Mediterranean Route,2016,1
13,drowning or exhaustion,37,Eastern Mediterranean Route,2016,1
14,drowning or exhaustion,10,Eastern Mediterranean Route,2016,1
15,drowning or exhaustion,5,Eastern Mediterranean Route,2016,1
16,malicious intent,1,Western Balkan Route,2016,1
17,other,1,,2016,1
18,drowning or exhaustion,8,Eastern Mediterranean Route,2016,1
19,drowning or exhaustion,38,Eastern Mediterranean Route,2016,1
20,drowning or exhaustion,12,Eastern Mediterranean Route,2016,1
21,drowning or exhaustion,3,Eastern Mediterranean Route,2016,1
22,suicide,1,,2016,1
23,drowning or exhaustion,4,Eastern Mediterranean Route,2016,1
24,unknown,1,Eastern Mediterranean Route,2016,1
25,drowning or exhaustion,6,Eastern Mediterranean Route,2016,1
26,drowning or exhaustion,3,Eastern Mediterranean Route,2016,1
27,drowning or exhaustion,6,Eastern Mediterranean Route,2016,1
28,other,1,,2016,1
29,drowning or exhaustion,6,Central Mediterranean Route,2016,1
30,drowning or exhaustion,6,Eastern Mediterranean Route,2016,1
31,violent accidental death,4,Eastern Mediterranean Route,2016,1
32,violent accidental death,7,Eastern Mediterranean Route,2016,1
33,violent accidental death,6,Eastern Mediterranean Route,2016,1
34,drowning or exhaustion,7,Eastern Mediterranean Route,2016,1
35,drowning or exhaustion,29,Eastern Mediterranean Route,2016,1
36,drowning or exhaustion,1,Eastern Mediterranean Route,2016,1
37,violent accidental death,1,,2015,12
38,malicious intent,1,Western Mediterranean Route,2015,12
39,drowning or exhaustion,2,Eastern Mediterranean Route,2015,12
40,drowning or exhaustion,11,Eastern Mediterranean Route,2015,12
41,drowning or exhaustion,20,Eastern Mediterranean Route,2015,12
42,unknown,1,Eastern Mediterranean Route,2015,12
43,drowning or exhaustion,13,Eastern Mediterranean Route,2015,12
44,drowning or exhaustion,2,Eastern Mediterranean Route,2015,12
45,drowning or exhaustion,12,Central Mediterranean Route,2015,12
46,malicious intent,1,,2012,12
47,malicious intent,1,,2013,6
48,drowning or exhaustion,4,Eastern Mediterranean Route,2015,12
49,drowning or exhaustion,18,Eastern Mediterranean Route,2015,12
50,drowning or exhaustion,4,Eastern Mediterranean Route,2015,12
51,unknown,2,Eastern Mediterranean Route,2015,12
52,unknown,2,Eastern Mediterranean Route,2015,12
53,unknown,4,Eastern Mediterranean Route,2015,12
54,drowning or exhaustion,6,Eastern Mediterranean Route,2015,12
55,malicious intent,1,,2015,12
56,drowning or exhaustion,1,Eastern Mediterranean Route,2015,12
57,drowning or exhaustion,13,Eastern Mediterranean Route,2015,12
58,unknown,1,Eastern Mediterranean Route,2015,12
59,drowning or exhaustion,11,Western African Route,2015,12
60,unknown,24,Eastern Mediterranean Route,2015,12
61,drowning or exhaustion,8,Eastern Mediterranean Route,2015,12
62,malicious intent,1,,2015,12
63,authorities related death,2,Western Mediterranean Route,2015,11
64,violent accidental death,1,,2015,12
65,unknown,4,Eastern Mediterranean Route,2015,12
66,violent accidental death,1,Western Balkan Route,2015,12
