  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = refugee_data$dead_or_missing ~ as.factor(refugee_data$year))

$`as.factor(refugee_data$year)`
                 diff         lwr       upr     p adj
2001-2000   1.1501560 -10.2137712 12.514083 1.0000000
2002-2000   2.0122468  -9.1204077 13.144901 0.9999999
2003-2000   4.6891909  -6.5173830 15.895765 0.9911799
2004-2000   2.4261892  -8.3070441 13.159423 0.9999964
2005-2000   4.3322895  -7.2948329 15.959412 0.9975518
2006-2000   5.8970128  -4.7470406 16.541066 0.8881606
2007-2000   6.2068302  -4.1335248 16.547185 0.8058345
2008-2000   5.4922672  -4.6198670 15.604401 0.9036807
2009-2000   8.3343900  -3.7292987 20.398079 0.5853671
2010-2000  -0.2425734 -13.9533597 13.468213 1.0000000
2011-2000  22.7445566  10.6343000 34.854813 0.0000000
2012-2000   5.0518342  -8.8859827 18.989651 0.9982249
2013-2000  11.3559851  -7.3612800 30.073250 0.7923348
2014-2000  35.1841170  20.4453006 49.922933 0.0000000
2015-2000  16.9706243   5.5228335 28.418415 0.0000403
2016-2000   4.8159851 -16.7530503 26.385021 0.9999970
2002-2001   0.8620908 -11.1066867 12.830868 1.0000000
2003-2001   3.5390349  -8.4985287 15.576598 0.9998694
2004-2001   1.2760332 -10.3221535 12.874220 1.0000000
2005-2001   3.1821335  -9.2478952 15.612162 0.9999797
2006-2001   4.7468568  -6.7688503 16.262564 0.9924759
2007-2001   5.0566742  -6.1789201 16.292269 0.9814810
2008-2001   4.3421112  -6.6838081 15.368030 0.9954211
2009-2001   7.1842341  -5.6550894 20.023557 0.8797024
2010-2001  -1.3927294 -15.7906911 13.005232 1.0000000
2011-2001  21.5944006   8.7113127 34.477488 0.0000010
2012-2001   3.9016782 -10.7126428 18.515999 0.9999639
2013-2001  10.2058291  -9.0204980 29.432156 0.9194510
2014-2001  34.0339610  18.6538327 49.414089 0.0000000
2015-2001  15.8204683   3.5580235 28.082913 0.0010219
2016-2001   3.6658291 -18.3464158 25.678074 1.0000000
2003-2002   2.6769441  -9.1425353 14.496423 0.9999963
2004-2002   0.4139424 -10.9577370 11.785622 1.0000000
2005-2002   2.3200427  -9.8989086 14.538994 0.9999997
2006-2002   3.8847660  -7.4027788 15.172311 0.9990436
2007-2002   4.1945834  -6.8070409 15.196208 0.9968148
2008-2002   3.4800204  -7.3073821 14.267423 0.9995698
2009-2002   6.3221432  -6.3129421 18.957229 0.9506770
2010-2002  -2.2548202 -16.4709539 11.961313 1.0000000
2011-2002  20.7323097   8.0527550 33.411864 0.0000022
2012-2002   3.0395874 -11.3956312 17.474806 0.9999987
2013-2002   9.3437383  -9.7468041 28.434281 0.9593632
2014-2002  33.1718702  17.9618241 48.381916 0.0000000
2015-2002  14.9583775   2.9099457 27.006809 0.0021419
2016-2002   2.8037383 -19.0900070 24.697484 1.0000000
2004-2003  -2.2630017 -13.7070566  9.181053 0.9999995
2005-2003  -0.3569014 -12.6432381 11.929435 1.0000000
2006-2003   1.2078219 -10.1526344 12.568278 1.0000000
2007-2003   1.5176393  -9.5587788 12.594057 1.0000000
2008-2003   0.8030763 -10.0605950 11.666748 1.0000000
2009-2003   3.6451992  -9.0550639 16.345462 0.9999048
2010-2003  -4.9317643 -19.2058582  9.342330 0.9989974
2011-2003  18.0553657   5.3108606 30.799871 0.0001283
2012-2003   0.3626433 -14.1296593 14.854946 1.0000000
2013-2003   6.6667943 -12.4669485 25.800537 0.9988900
2014-2003  30.4949261  15.2306933 45.759159 0.0000000
2015-2003  12.2814334   0.1646678 24.398199 0.0429500
2016-2003   0.1267943 -21.8046303 22.058219 1.0000000
2005-2004   1.9061003  -9.9500825 13.762283 1.0000000
2006-2004   3.4708236  -7.4229805 14.364628 0.9996323
2007-2004   3.7806410  -6.8166246 14.377907 0.9985279
2008-2004   3.0660780  -7.3086198 13.440776 0.9998601
2009-2004   5.9082008  -6.3764108 18.192812 0.9652934
2010-2004  -2.6687626 -16.5743283 11.236803 0.9999997
2011-2004  20.3183673   7.9880223 32.648712 0.0000017
2012-2004   2.6256450 -11.5038219 16.755112 0.9999998
2013-2004   8.9297959  -9.9306153 27.790207 0.9699468
2014-2004  32.7579278  17.8377467 47.678109 0.0000000
2015-2004  14.5444351   2.8640665 26.224804 0.0020275
2016-2004   2.3897959 -19.3035759 24.083168 1.0000000
2006-2005   1.5647233 -10.2107871 13.340234 1.0000000
2007-2005   1.8745407  -9.6271858 13.376267 1.0000000
2008-2005   1.1599777 -10.1370144 12.456970 1.0000000
2009-2005   4.0021006  -9.0707476 17.074949 0.9997790
2010-2005  -4.5748629 -19.1814516 10.031726 0.9997040
2011-2005  18.4122671   5.2964337 31.528100 0.0001600
2012-2005   0.7195447 -14.1003579 15.539447 1.0000000
2013-2005   7.0236957 -12.3593585 26.406750 0.9982302
2014-2005  30.8518275  15.2762222 46.427433 0.0000000
2015-2005  12.6383348   0.1315892 25.145080 0.0444623
2016-2005   0.4836957 -21.6655720 22.632963 1.0000000
